Nazwisko aktualne,Liczba
KUŻDŻEŃ,12
KÜTTNER,12
KVACH,12
KVARATSKHELIA,12
KWAŚNIEWSKI,12
KWAT,12
KWEISER,12
KWIECINSKI,12
KWITNIOWSKA,12
KWOS,12
KYIASHKO,12
KYRYLLOVA,12
KYRYLOVYCH,12
KYSLIUK,12
LABECKA,12
LACEL,12
LADAN,12
LADER,12
LADORSKA,12
LADWIG,12
LADZIK,12
LAFERT,12
LAINE,12
LAIRD,12
LALO,12
LAMM,12
LAMMERS,12
LANDSKRON,12
LANEVYCH,12
LANGLEY,12
LANGOCZ,12
LANTUKH,12
LAPINSKA,12
LAPKA,12
LAPPO,12
LAQUA,12
LARKIN,12
LASCZOK,12
LASK,12
LAS-OPOLSKA,12
LASTÓWKA,12
LASZCZYCA,12
LASZOTA,12
LATASZEWICZ,12
LATYSH,12
LAUBICH,12
LAUDENCKA,12
LAURENCIAK,12
LAURYSIEWICZ,12
LAUX,12
LAVRO,12
LAWĘDOWSKA,12
LAWĘDZKA,12
LAZA,12
LAZURENKO,12
LĄC,12
LE THANH,12
LEBIODZIŃSKA,12
LECHNIK,12
LEDEMAN,12
LEDIŃSKA,12
LEDOWSKA,12
LEGANOWSKA,12
LEGE,12
LEHENKA,12
LEICHERT,12
LEIKE,12
LEJCA,12
LEJNWEBER,12
LEKSO,12
LELIUK,12
LEMBERSKA,12
LEMESHCHUK,12
LEMIEC,12
LEMIECHOWICZ,12
LEMIERSKA,12
LEMIEŻ,12
LEMISZKO,12
LEMMENS,12
LENDZIO,12
LENIARD,12
LENIS,12
LENOBEL,12
LEPIEJKO,12
LERCEL,12
LERCHER,12
LESIKIEWICZ,12
LESYNG,12
LESZAJ,12
LESZINSKA,12
LESZYK,12
LEŚNYCZYK,12
LEUNG,12
LEWAKOWSKA,12
LEWOŃKO,12
LIBAL,12
LIBOŃ,12
LIBUŚ,12
LICENOWICZ,12
LICHOWID,12
LIGENSA,12
LINDNAŁ,12
LINDQVIST,12
LINDSAY,12
LINECKA,12
LINIEWIECKA,12
LINN,12
LIŃCZAK,12
LISSOK,12
LISZCZUK,12
LISZCZYNA,12
LISZE,12
LIUBIMOVA,12
LIUBINSKA,12
LI-U-FA,12
LIVANDOVSKA,12
LIWKOWICZ,12
LIWUŚ,12
LIŻEŃSKA,12
LO,12
LOBUR,12
LODCZYK,12
LOGIŃSKA,12
LOHNER,12
LOHVYNIUK,12
LOIK,12
LOMPAS,12
LOPACHUK,12
LORENZEN,12
LOSSAU,12
LOTT,12
LOTTKO,12
LOU,12
LOUW,12
LOVELL,12
LŐFFLER,12
LUBANDY,12
LUBERAŃSKA,12
LUBOŚNA,12
LUBRZYCKA,12
LUCHA,12
LUCHTER,12
LULIN,12
LUSOWICZ,12
LUTRUK,12
LYBA,12
LYNDA,12
LYTOVKA,12
ŁABANOW,12
ŁACHMICKA,12
ŁACMAN,12
ŁAGOZIN,12
ŁAGOŻNY,12
ŁAJDYK,12
ŁAŃCUT,12
ŁAŃCUTA,12
ŁAPSKA,12
ŁASIAK,12
ŁASIUK,12
ŁAŚKIEWICZ,12
ŁATAREWICZ,12
ŁATUNOWICZ,12
ŁATUSZKO,12
ŁAWRENTJEW,12
ŁAWREŃCZYK,12
ŁAWRUSZCZYK,12
ŁAZORYSZYN,12
ŁEBIŃSKA,12
ŁEŁYK,12
ŁOMICKA,12
ŁOMOCIŃSKA,12
ŁOPADCZAK,12
ŁOSZKO,12
ŁOTUSZKA,12
ŁOŻYCZKA,12
ŁUCZECZKO,12
ŁUKAWY,12
ŁUKSZTEDT,12
ŁUPACZYK,12
ŁYBIK,12
ŁYNDA,12
ŁYSECKA,12
ŁYSYNKIEWICZ,12
MACANOWICZ,12
MACECH,12
MACEL,12
MACHINKA,12
MACHOWIECKA,12
MACISOWICZ,12
MACIUSZEWICZ,12
MACUKIEWICZ,12
MACZASSEK,12
MACZICHIN,12
MAĆKIW,12
MADCZAK,12
MADUROWICZ,12
MAGIERŁO,12
MAHMUD,12
MAHOROWSKA,12
MAIBACH,12
MAIDANYK,12
MAIS,12
MAIUK,12
MAJACKA,12
MAJCHROWSKI,12
MAJDAŃCZUK,12
MAJERSKI,12
MAJOWSKI,12
MAJSIEJ,12
MAKAEVA,12
MAKAROYJ,12
MAKHOVA,12
MAKLAKOVA,12
MAKODOŃSKA,12
MAKOSIEWICZ,12
MAKSA,12
MAKSIMAVA,12
MAKUCHA,12
MAKULEWSKA,12
MAKUSZEK,12
MALANIK,12
MALANIUK,12
MALASHENKO,12
MALCHEROWICZ,12
MALCHUK,12
MALECHOWSKA,12
MALETYCH,12
MALICZYSZYN,12
MALIJONIS,12
MALININA,12
MALIUHA,12
MALLA,12
MALOWAŃSKA,12
MALTZ,12
MALUTKO,12
MALYSHENKO,12
MAŁDOCH,12
MAŁOW,12
MAŁOWICZ,12
MAŁŻEŃSKA,12
MAMCHYTS,12
MAMCZARCZYK,12
MAMEDOW,12
MAMOŃKO,12
MAMYSZ,12
MANDRO,12
MANHART,12
MANNEK,12
MANNISCHEFF,12
MANOILO,12
MANOWSKI,12
MANTHEJ,12
MANUEL,12
MANUIŁ,12
MANULAK,12
MANZ,12
MAŃKOWSKI,12
MARAMOROSZ,12
MARASS,12
MARCHEFKA,12
MARCINOW,12
MARCIUCH,12
MARCZEK,12
MARCZOWSKA,12
MARDER,12
MARDOSIEWICZ,12
MARFIEWICZ,12
MARGELLA,12
MARGOŃSKA,12
MARIANI,12
MARINOV,12
MARIUK,12
MARKANYCZ,12
MARKHAM,12
MARKUSZ,12
MARONNA,12
MAROSSANYI,12
MARSZAŁKOWICZ,12
MARSZULA,12
MARTICKE,12
MARTINSEN,12
MARTOS,12
MARTSYNKEVYCH,12
MARUSZYJ,12
MARYJEWSKA,12
MARYŃCZUK,12
MASELLI,12
MASIARCZYK,12
MASILEWICZ,12
MASIONIS,12
MASKALEWICZ,12
MASKOWICZ,12
MASKUT,12
MASYRA,12
MASZER,12
MASZLONG,12
MATCZENIA,12
MATECKI,12
MATECZKO,12
MATEICHUK,12
MATEIKO,12
MATENNA,12
MATHIES,12
MATHIEU,12
MATIANOWSKA,12
MATIĆ,12
MATIISHYN,12
MATLENGIEWICZ,12
MATŁAS,12
MATOCHA,12
MATONIS,12
MATSEIKO,12
MATUZELSKA,12
MATVIYCHUK,12
MATYA,12
MATYCKA,12
MATYJEW,12
MAVDRYK,12
MAXA,12
MAYKOWSKA,12
MAZANOWICZ,12
MAZOWIEC,12
MAZURETS,12
MAZUROVA,12
MAZZA,12
MĄDROWICZ,12
MĄTECKA,12
MC MAHON,12
MCCANN,12
MCGREGOR,12
MCNALLY,12
MECHLEWICZ,12
MEDAU,12
MEDENECKA,12
MEDOROWSKA,12
MEDUNECKA,12
MEIRONKE,12
MEKH,12
MEKOWSKA,12
MELEK,12
MELEKH,12
MELESZCZUK,12
MELKNER,12
MELNEROWICZ,12
MENCINA,12
MENCIŃSKA,12
MENDRELLA,12
MENEL,12
MENSCH,12
MENTELIS,12
MENTRYCKA,12
MERCHOLC,12
MERKISZ,12
MERONÓW,12
MERWID,12
METLINGA,12
METODIEVA,12
METTER,12
MEUSZ,12
MĘCFAL,12
MĘDZELOWSKA,12
MĘTKA,12
MIADZVEDZEVA,12
MICHAJŁOWA,12
MICHALENKO,12
MICHAŁACIUK,12
MICHAUD,12
MICHEREWICZ,12
MICHOWIECKA,12
MICKANIEC,12
MIEDZIAŁOWSKA,12
MIEDZIECHOWSKA,12
MIEDZIUN,12
MIELESZCZENKO,12
MIERNOW,12
MIERZEŃSKA,12
MIERZIŃSKA,12
MIETIÓŁKA,12
MIETLAREK,12
MIĘCIKIEWICZ,12
MIĘCZAK,12
MIGASIK,12
MIGATULSKA,12
MIGEL,12
MIKHALCHUK,12
MIKHALOVA,12
MIKHAYLOVA,12
MIKIJANIEC,12
MIKINNIK,12
MIKITOWICZ,12
MIKORZEWSKA,12
MIKUCKI,12
MILASH,12
MILESZCZAK,12
MILETIĆ,12
MILEWCZIK,12
MILIMĄKA,12
MILINCHUK,12
MILLA,12
MILLARD,12
MILTON,12
MIŁACHOWICZ,12
MIN,12
MINSKA,12
MIOTKOWSKA,12
MIREŃSKA,12
MIROSHNYKOVA,12
MIROSZCZENKO,12
MISHINA,12
MISTALSKA,12
MISZYN,12
MITKOW,12
MIZGORSKA,12
MIZIER,12
MLECZ,12
MŁODOWICZ,12
MŁODYNIA,12
MŁODZIEJOWSKA,12
MOAS,12
MOCARNA,12
MOCIANKO,12
MOCK,12
MOCZALA,12
MOCZULAJTYS,12
MOĆKOWSKA,12
MODLINSKA,12
MOEN,12
MOKŁOWICZ,12
MOKRZYŚ,12
MOKSIEWICZ,12
MOLENDO,12
MOLUSZYS,12
MOŁDRZYKOWSKA,12
MOŁODCZAK,12
MOŁODEC,12
MONDER,12
MONNIER,12
MORDAN,12
MORLIŃSKA,12
MOROZIEWICZ,12
MORTUSIEWICZ,12
MORYLSKA,12
MORYSEWICZ,12
MORŻOŁ,12
MOSDORF,12
MOSHE,12
MOSKALCZUK,12
MOSKOVCHUK,12
MOSKVA,12
MOSKWYTYN,12
MOSTKOWY,12
MOŚCICHOWSKA,12
MOTACZ,12
MOTASKA,12
MOTECKA,12
MOTKO,12
MOTOLKO,12
MOTUZNA,12
MOTYLICKA,12
MOULIS,12
MOVCHANIUK,12
MOZIL,12
MOZOŁOWICZ,12
MOZYRO,12
MOŻDŻERUK,12
MROŻEWICZ,12
MRÓGAŁA,12
MUCHNICKA,12
MUCOWSKA,12
MUDZIEJEWSKA,12
MUDZIŃSKA,12
MULLIGAN,12
MUNDKOWSKA,12
MURASZOW,12
MURAVYTSKA,12
MURAWEL,12
MURMAN,12
MURYAS,12
MURZINA,12
MUSIALEK,12
MUSIANEK,12
MUSIEJKO,12
MUSZKALSKA,12
MUSZTAFAGA,12
MUSZTARSKA,12
MUZG,12
MUŻECKA,12
MUŻYK,12
MÜNZGER,12
MYCAWKA,12
MYHEL,12
MYKHAILOVYCH,12
MYKHALEVSKA,12
MYKHALKO,12
MYKYTCHENKO,12
MYRHOROD,12
MYSAN,12
MYSSERA,12
MYSZI,12
MYŚCICHOWSKA,12
MYTKOŚ,12
MYTNYK,12
MYTULA,12
MYŻYŃSKA,12
NABOŻNIAK,12
NACMER,12
NADERZA,12
NADHERA,12
NADTOKA,12
NAGAJEW,12
NAGOCKA,12
NAJDOCH,12
NAJDUSZYŃSKA,12
NAJGIEBAUER,12
NAJMIEC,12
NAJWALD,12
NAKELSKA,12
NAKONECKA,12
NALEPSKA,12
NAMONIUK,12
NANIO,12
NANIVSKA,12
NAORNIAKOWSKA,12
NAPIRSKA,12
NAPOLITANO,12
NARKINTOWICZ,12
NARŁOWSKA,12
NARZELSKA,12
NASADNIK,12
NASKALSKA,12
NASR,12
NASTKIEWICZ,12
NASULEWICZ,12
NASZCZYŃSKA,12
NATUR,12
NAUMOVYCH,12
NAWISIELSKA,12
NAYDENOVA,12
NDIAYE,12
NECIO,12
NEDWED,12
NEHLS,12
NEHYBA,12
NEINERT,12
NEJBERT,12
NEJDROWSKA,12
NELSKA,12
NEŁKA,12
NERLEWSKA,12
NESEN,12
NESSELDT,12
NESTSIAROVICH,12
NETTIK,12
NETTMANN,12
NEUBURGER,12
NEUHOF,12
NEUMER,12
NEUMILLER,12
NEVILLE,12
NEVSKA,12
NEWELL,12
NEWY,12
NGUYEN NGOC,12
NGUYEN THI THANH,12
NIBELSKA,12
NICHOLAS,12
NICZAJ,12
NIEBERT,12
NIEBIESZCZYŃSKA,12
NIEBORACZEK,12
NIEBUDKOWSKA,12
NIECHAJOWICZ,12
NIECHOĆKO,12
NIECZAJEW,12
NIEDZIEŃ,12
NIEKRASZUK,12
NIEMINEN,12
NIEMKO,12
NIEPOKÓLCZYCKA,12
NIEPRAWSKA,12
NIERYCHLOK,12
NIERZEWSKA,12
NIESLON,12
NIESMACZNY,12
NIESTER,12
NIESTERKOWSKA,12
NIESTEROW,12
NIETSZ,12
NIEWIEDZIOL,12
NIEWIEŚCIUCH,12
NIEWOŻEWSKA,12
NIEWRZENDOWSKA,12
NIEZNAJEK,12
NIEŹWIŃSKA,12
NIEŻAŁOWSKA,12
NIKISCH,12
NIKS,12
NILIPIŃSKA,12
NIMOTH,12
NIMPSCH,12
NIT,12
NITECKI,12
NITSEVYCH,12
NIZIKOWSKA,12
NIZWALD,12
NOCIŃSKA,12
NOCZYŃ,12
NODZEŃSKA,12
NOETZELMANN,12
NOJBERG,12
NONGISER,12
NORDIN,12
NORDSTRÖM,12
NOSOVSKA,12
NOURI,12
NOWICKA-OSUCH,12
NOWICZEWSKA,12
NOWINA-KONOPKA,12
NOWOŚWIECKA,12
NOWOŻYN,12
NOY,12
NOZDRYŃ-PŁOTNICKA,12
NUMRYK,12
NUN,12
NUTT,12
NUŻCZYŃSKA,12
NYCHYPORCHUK,12
NYCHYPORENKO,12
NYCZKOWIAK,12
NYKOLAICHUK,12
NYKOŁYSZAK,12
NYKONIUK,12
NYZ,12
OAKLEY,12
OBADA,12
OBAS,12
OBRAZIŃSKA,12
OCHENCKA,12
OCHRYNIAK,12
ODARCHUK,12
ODIJA,12
OFIANEWSKA,12
OFIS,12
OGIEWKA,12
OGŁASZEWSKA,12
OGNICHA,12
OHIIEVYCH,12
OHLASZENY,12
OJCOWICZ,12
OJDANOWSKA,12
OKIENCZYC,12
OKOPA,12
OKSIENIUK,12
OLANKIEWICZ,12
OLEAR,12
OLEKSYUK,12
OLEKSZAK,12
OLESHCHENKO,12
OLĘDEREK,12
OLIFERKO,12
OLISZEWICZ,12
OLIVIERI,12
OLM,12
OLSCHEWSKA,12
O'MAHONY,12
OMELAK,12
OMIĘCKA,12
OMILJANOWICZ,12
OMILUSIK,12
ONOPRYJUK,12
ONSOWICZ,12
ONUFSZAK,12
OPALANKO,12
OPRZAŁA,12
ORGIELEWSKA,12
ORGOŃSKA,12
ORLANKA,12
ORNA,12
ORYSHCHYN,12
ORYSZKO,12
ORZESZKA,12
OSAJDZIŃSKA,12
OSENTOWSKA,12
OSIA,12
OSICZAK,12
OSIENICKA,12
OSIO,12
OSIPENKO,12
OSIPIENKO,12
OSIWAŃSKA,12
OSKORY,12
OSKULSKA,12
OSMANOWICZ,12
OSSUCH,12
OSTAŁKIEWICZ,12
OSTASHUK,12
OSTASZEWSKI,12
OSTASZYN,12
OSTERCZUK,12
OSTERN,12
OSTOJA-HEŁCZYŃSKA,12
OSTROCH,12
OSTROWIAK,12
OSUBNIAK,12
OSYPANKO,12
OSZENDA,12
OSZIELOR,12
OSZYJCZYK,12
OŚMIANA,12
OTTENBRAJT,12
OTTERSKA,12
OVERKO,12
OXLEY,12
OZARKO,12
OŻEGALSKA,12
ÖNER,12
PACAŁATY,12
PACESZ,12
PACHANOWSKA,12
PACHNICZ,12
PACHOŁOWSKA,12
PACHÓŁ,12
PACHURSKA,12
PACKAŃ,12
PADERECKA,12
PAGANO,12
PAIPUCH,12
PAISERT,12
PAIUK,12
PAJĄSKA,12
PAJENCKA,12
PAJKUSZ,12
PAKIER,12
PAKLIKOVSKA,12
PALCZUK,12
PALEŃSKA,12
PALIBUDA,12
PALIJCZUK,12
PALINSKA,12
PALIY,12
PALMAN,12
PALTO,12
PALUBITZKA,12
PAŁADICZUK,12
PAŁŻEWICZ,12
PAMPUCHOWICZ,12
PANAJEW,12
PANKOSZ,12
PANUCHNO,12
PAPELBAUM,12
PAPERSKA,12
PAPPE,12
PAPROTSKA,12
PARAFIANCZUK,12
PARAFJANOWICZ,12
PARKIETA,12
PARKIETNA,12
PAROHL,12
PARR,12
PASCHALIS,12
PASJAK,12
PASKER,12
PASQUIER,12
PASTRYKIEWICZ,12
PASZTYŁA,12
PAŚ-FILIPEK,12
PATENT,12
PATRIANS,12
PATRICK,12
PATZELT,12
PAULAT,12
PAUSDER,12
PAVIĆ,12
PAVLIUKH,12
PAVLIVSKA,12
PAVUK,12
PAWCZUK,12
PAWENDA,12
PAWILONIS,12
PAWLENTY,12
PAWLINIARZ,12
PAWLISCH,12
PAWOLEK,12
PAŻĄTKA-LIPIŃSKA,12
PĄTKIEWICZ,12
PECHERSKA,12
PECUJKO,12
PEDZIŃSKA,12
PEHL,12
PEHLIVAN,12
PEIKOW,12
PEITSCH,12
PEJSAK,12
PEKRUN,12
PELECH,12
PELER,12
PELISIAK,12
PENGRYN,12
PENKOVSKA,12
PENSKA,12
PENSZKO,12
PERDENIA,12
PERDUBIŃSKA,12
PERENIEC,12
PERKIELEWICZ,12
PERNAT,12
PERZANKOWSKA,12
PESZ,12
PESZA,12
PETKOV,12
PETLUK,12
PETRAKOVA,12
PETRIKOW,12
PETRIUK,12
PETROŃCZAK,12
PETRUKHA,12
PETRUSHEVSKA,12
PETRYCZKA,12
PETRYSHAK,12
PETRZELIS,12
PEWNICKA,12
PEZARA,12
PEZLER,12
PĘCICKA,12
PĘDZIOR,12
PIACZYŃSKA,12
PIATKOWSKA,12
PICHITA,12
PICHOL,12
PICKERING,12
PICZÓRA,12
PIECABA,12
PIECHOCIAK,12
PIECUNKO,12
PIECZARKOWSKA,12
PIECZURA,12
PIEHL,12
PIELECHATY,12
PIENCZK,12
PIENCZYN,12
PIENIG,12
PIENTAK,12
PIERCHLAK,12
PIERNACZYK,12
PIERONIK,12
PIERSKALA,12
PIERSZALIK,12
PIERSZCHAŁA,12
PIERWIENIS,12
PIERZYNIAK,12
PIESTRZYNIEWICZ,12
PIESZKALSKA,12
PIEŚNIAKIEWICZ,12
PIETRACKA,12
PIETRAUSZKA,12
PIETRUKOWSKA,12
PIETRWALSKA,12
PIETUSZEWSKA,12
PIĘCZKA,12
PIJAGIN,12
PIKCIUN,12
PILECZEK,12
PILIPAJĆ,12
PILIPAS,12
PILIPCHUK,12
PILKOWSKA,12
PILOCIK,12
PIŁATEK,12
PIŁSUDSKA,12
PINKE,12
PINKOWICKA,12
PINTATARA,12
PINTWAŁA,12
PIOTRASCHKE,12
PIOTRASZEWSKA,12
PIOTROŁAJ,12
PIPIR,12
PIRINOTTI,12
PIROH,12
PIRZGALSKA,12
PISZCZALA,12
PISZCZATYN,12
PISZCZEWIAT,12
PISZCZOR,12
PIWACZ,12
PIWAKOWSKA,12
PIWO,12
PIZIUR,12
PLACKO,12
PLANERT,12
PLANICKA,12
PLEJZER,12
PLESZEWICZ,12
PLEWANIUK,12
PLIETH,12
PLISZAK,12
PLOSZCZYK,12
PLUCHCIŃSKA,12
PLUS,12
PLUTYŃSKA,12
PŁACHCZYŃSKA,12
PŁANAK,12
PŁASZENKO,12
PŁASZYŃSKA,12
PŁOCIDYM,12
PŁOCIKIEWICZ,12
PŁOMECKA,12
PŁOSAJCZYK,12
PŁOWUSZYŃSKA,12
POBURKA,12
POCHAPSKA,12
POCHELSKA,12
POCHRANOWICZ,12
POCOBIEJ,12
POCZEKWA,12
PODBOROŻNA,12
PODBROŻNY,12
PODBRZESKA,12
PODDANA,12
PODDEMSKA,12
PODEDWÓRNA,12
PODGÓRSKA-SZPYT,12
PODHORNA,12
PODIUK,12
PODJARKOWSKA,12
PODLIESNA,12
PODRASZKO,12
PODROUŻEK,12
PODYMKIEWICZ,12
PODZIOMSKA,12
POETA,12
POGANIEC,12
POGIEL,12
POGIERNICKA,12
POHLOD,12
POHRIBNIAK,12
POIDA,12
POJASZEWSKA,12
POKALUK,12
POKARMISZ,12
POKRZYWKO,12
POLANISZ,12
POLÁK,12
POLEJCZUK,12
POLENIEWICZ,12
POLEWAJCZYK,12
POLIC,12
POLIUHA,12
POLIZIO,12
POLLARD,12
POLLEY,12
POLLUS,12
POLOVKO,12
POLSKI,12
POLSZAKIEWICZ,12
POŁACZAŃSKA,12
POŁENCZAK,12
POŁNIAK,12
POŁONKA,12
POŁOWIENIA,12
POŁUBEK,12
POŁYŃ,12
POMERANC,12
POMOGER,12
POMPERSKA,12
PONKLAK,12
POŃSKO,12
POPADANIEC,12
POPINIGIS,12
POPIOŁOWSKA,12
POPKOW,12
POPLIŃSKA,12
POPŁONEK,12
PORADYŁO,12
PORĘCZEWSKA,12
PORMAŃCZUK,12
PORTEE,12
PORWICKA,12
POSEL,12
POSHTAR,12
POSIAKOW,12
POSIOŁ,12
POSKONKA,12
POSTMA,12
POSTUŁKA,12
POTEK,12
POTENTA,12
POTHS,12
POTOCZNIK,12
POTREĆ,12
POVSTIANA,12
POWOLIK,12
POWROŻNIK,12
POZNECKA,12
POŻDŻAŁ,12
PRACUTA,12
PRADLER,12
PRAMOR,12
PRANDL,12
PRASZAŁOWICZ,12
PRAWNICZAK,12
PRAZIMOWSKA,12
PREBENDOWSKA,12
PREI,12
PREIBISCH,12
PREJSNER,12
PRENGLER,12
PRESAK,12
PRESMAN,12
PRESNAROWICZ,12
PRESNER,12
PRICHACZ,12
PRICOP,12
PRIEDITIS,12
PRISACARI,12
PROESLER,12
PROKOPIENKO,12
PROMINSKA,12
PROSKÓRNICKA,12
PROTASOWICKA,12
PROWIZOR,12
PROZAPAS,12
PROŻALSKA,12
PRUDYUS,12
PRUSKE,12
PRUSSAKOW,12
PRUZIŃSKA,12
PRYDATKO,12
PRYIMENKO,12
PRYJMAK,12
PRYPŁOT,12
PRYSKA,12
PRYTULCZYK,12
PRZEBITKOWSKA,12
PRZEDZIMIRSKA,12
PRZELIŃSKA,12
PRZEŁOŻYŃSKA,12
PRZENIEŚLIK,12
PRZEWIĘZIKOWSKA,12
PRZĘDZIŃSKA,12
PRZYBYNOWSKA,12
PRZYBYTNI,12
PRZYMENSKA,12
PRZYRAŃSKA,12
PRZYSZOWIEC,12
PRZYŚLEWICZ,12
PRZYTULAK,12
PRZYZIÓŁKIEWICZ,12
PSZCZELNIK,12
PSZONIAK,12
PUBANZ,12
PUCCI,12
PUCHAR,12
PUCHŁOPEK,12
PUDYKIEWICZ,12
PUKANTY,12
PUKSZLIS,12
PUŁAKOWSKA,12
PUN,12
PURMAN,12
PUSHENKO,12
PUSS,12
PUSZEWSKA,12
PUSZKARUK,12
PUŚCIŃSKA,12
PUTZLACHER,12
PUZYN,12
PUZYNOWICZ,12
PYCH-LIPIŃSKA,12
PYCYK,12
PYRCEK,12
PYRTEJ,12
PYTELEWICZ,12
PYTLINSKA,12
RABCZUN,12
RABEŁ,12
RACHAUS,12
RACHOTA,12
RACŁAWICKA,12
RACZYŃSKI,12
RADAMSKA,12
RADEŁCZYK,12
RADEWICZ,12
RADINA,12
RADOJ,12
RADWIN,12
RADYKO,12
RADZEVICH,12
RADZIKHOVSKA,12
RAFLIK,12
RAJCHUT,12
RAJCZONEK,12
RAJZEWICZ,12
RAKULSKA,12
RAMPOLD,12
RAMZIA,12
RANDAU,12
RANKOWSKA,12
RAO,12
RAPANOWICZ,12
RAPINCZUK,12
RAPS,12
RASTABIGA,12
RASTAWIECKA,12
RATHE,12
RATHMANN,12
RATHNÓW,12
RATUCH,12
RAUNEST,12
RAWICZ-GALIŃSKA,12
RAYMOND,12
RAYNER,12
RAZURKIEWICZ,12
RAŹNIACZYK,12
RAŻNIAK,12
REBANDEL,12
REBEL,12
RECHAJGET,12
REDZEJ,12
REGEV,12
REGLIN,12
REHLA,12
REIFLAND,12
REINDL,12
REINEK,12
REIPOLD,12
REJNSZ,12
REJNUŚ,12
REJSS,12
REKTOREK,12
REKWARDT,12
REKWIROWICZ,12
RELICHOWSKA,12
REMBACKA,12
REMBICKA,12
REMES,12
REMINGER,12
REMIS,12
REMPULSKA,12
RENGIEWICZ,12
REPELOWSKA,12
REPINA,12
REPP,12
REUDELSDORF,12
REWALD,12
REWASIEWICZ,12
REZEL,12
REZETKA,12
RĘBOCH,12
RĘGOROWICZ,12
RĘKAL,12
RHODES,12
RIABKOVA,12
RIABOKIN,12
RICKERT,12
RIECK,12
RIEGNER,12
RIHA,12
RISHKO,12
RITZKA,12
RIWOŃ,12
RIX,12
RIZUN,12
ROCHEL,12
ROCHO,12
ROCHOWIEC,12
ROEHLICH,12
ROELLE,12
ROGACIN,12
ROGEŃSKA,12
ROGOTZKA,12
ROHACH,12
ROHM,12
ROHOZHYNSKA,12
ROKACZ,12
ROKICIAŃSKA,12
ROKOSZA,12
ROLESKA,12
ROLNIAK,12
ROMACZYK,12
ROMALSKA,12
ROMANOWA,12
ROMASZEWICZ,12
ROMAZEWICZ,12
RONDZISTY,12
RONIKIER-DOLAŃSKA,12
ROOK,12
RORKOWSKA,12
ROSAL,12
ROSANKA,12
ROSATI,12
ROSPENDEK,12
ROSSIAN,12
ROSTAS,12
ROSTKOWSKI,12
ROSUŁ,12
ROTHMANN,12
ROTSZEJN,12
ROTTE,12
ROTTENBERG,12
ROWDO,12
ROWLAND,12
ROZALCZAK,12
ROZBIEGAŁA,12
ROZDOBUDKO,12
ROZPĘDSKA,12
ROZUMECKA,12
ROZUMIEJKO,12
ROZUMNA,12
ROZWAG,12
RÓŻNIEWICZ,12
RÖẞLER,12
RUBANIAK,12
RUBASZKIEWICZ,12
RUBCIAK,12
RUCKI,12
RUDAJKO,12
RUDENOK,12
RUDOBIELSKA,12
RUDZIANIEC,12
RUDZIŃSKI,12
RUGIEŁŁO,12
RUMIEŃSKA,12
RUMISTRZEWICZ,12
RUNK,12
RUPOCINSKA,12
RUPPRECHT,12
RUSCHKE,12
RUSELIK,12
RUSETSKAYA,12
RUSIECKI,12
RUSKOWALSKA,12
RUSNAC,12
RUSSIN,12
RUSSOCKA,12
RUSTARZ,12
RUTTAR,12
RUŻANOWSKA,12
RYBAŁOW,12
RYBINA,12
RYBINKOWSKA,12
RYBIORZ,12
RYCHOLD,12
RYCHTIK,12
RYCYRS,12
RYCZEWSKA,12
RYDKODYM,12
RYDZIKO,12
RYGUSIŃSKA,12
RYGWELSKA,12
RYKIS,12
RYMGAYŁŁO,12
RYMONT,12
RYSZYTYŁO,12
RYŚCIK,12
RYTEK,12
RYŻYJ,12
RZARZYŃSKA,12
RZĄSIK,12
RZEPECKI,12
RZEPNIAK,12
RZEWICZOK,12
RZUN,12
RZYMEŁKA,12
SABACIAK,12
SABADARZ,12
SABBO,12
SABITOVA,12
SABONIS,12
SAD,12
SADEJKO,12
SADOWIK,12
SADOWNICZEK,12
SAEID,12
SAFIANIK,12
SAFURYN,12
SAJNUG,12
SAKUN,12
SALAMAK,12
SALAMATINA,12
SALANIUK,12
SALANYK,12
SALAS,12
SALAZAR,12
SALCZAK,12
SALDAN,12
SALERNO,12
SALKÓW,12
SALOM,12
SALZER,12
SALZMAN,12
SAŁAMASZYŃSKA,12
SAMAR,12
SAMBAK,12
SAMCHENKO,12
SAMOJŁOW,12
SAMOŁOWICZ,12
SAMOTYS,12
SAMUSIK,12
SAMUSIONEK,12
SANAJKO,12
SANDERSKA,12
SANDMAN,12
SANDS,12
SAPIEJ,12
SAPIGA,12
SARAJEW,12
SARAK,12
SARALIEVA,12
SARAMOWICZ,12
SARDYKO,12
SARKANY,12
SARKISIAN,12
SARNASZEK,12
SARNAVSKA,12
SAROKINA,12
SARR,12
SARRAZIN,12
SARWICKA,12
SARZEWICZ,12
SATANOVSKA,12
SAUKO,12
SAULIAK,12
SAVOSH,12
SAWARA,12
SAWASTIAN,12
SAWERYN,12
SAWITUS,12
SAWKOW,12
SAWRYCKA,12
SAWUKANIS,12
SAXENA,12
SĄPOROWSKA,12
SĄTOWICZ,12
SBIELUT,12
SCHAMPERA,12
SCHARNOWSKA,12
SCHÄTZEL,12
SCHEIL,12
SCHEINER,12
SCHENDEL,12
SCHENKER,12
SCHIEL,12
SCHILL,12
SCHIRAKOWSKA,12
SCHIWY,12
SCHLAFFKA,12
SCHLAFKA,12
SCHOENROCK,12
SCHOIDA,12
SCHOLTYSEK,12
SCHONERT,12
SCHOR,12
SCHOUTEN,12
SCHÖNHERR,12
SCHRADE,12
