Nazwisko aktualne,Liczba
IZDEBSKA,4199
HOFFMANN,4194
KRUCZEK,4188
RATAJCZYK,4182
LITWIN,4181
ŁUKASZEWICZ,4164
KAWKA,4150
JUSZCZYK,4138
KRUKOWSKA,4134
ROSZAK,4119
NIEDZIELA,4117
WERNER,4115
STUDZIŃSKA,4102
MAKUCH,4101
LORENC,4094
PIĘTKA,4089
ŚWIDER,4089
MAŃKA,4085
ROSZKOWSKA,4075
WIŚNIOWSKA,4071
DUSZYŃSKA,4066
SZAREK,4060
KRÓLAK,4054
SIWIEC,4051
POLAŃSKA,4048
JÓŹWIK,4042
LISZKA,4033
KARCZ,4032
SCHMIDT,4032
JEZIORSKA,4029
SZOT,4029
WRZESIŃSKA,4026
KWIATEK,4024
PAPROCKA,4022
ROŻEK,3998
JAKUBCZYK,3987
BOGACZ,3986
BURY,3986
BOBROWSKA,3985
ŻUCHOWSKA,3983
ADAMIEC,3974
KNAP,3970
NOWIŃSKA,3969
KRASZEWSKA,3968
KORZENIEWSKA,3957
SIDOR,3957
TUROWSKA,3950
DROŻDŻ,3946
FILIP,3945
RUSEK,3945
KORCZAK,3944
KOSMALA,3943
GRABARCZYK,3937
WOŹNA,3924
GACEK,3920
WOJDA,3914
GRODZKA,3909
MIELCAREK,3908
TKACZ,3903
KRUSZYŃSKA,3900
WACH,3897
BOGDAŃSKA,3892
LANGE,3891
KUSIAK,3876
PASZKIEWICZ,3876
RZEPECKA,3873
GRZYBEK,3871
KUKLA,3869
BORYS,3853
LEWIŃSKA,3852
GOLA,3849
KĘDZIOR,3842
MAŁKOWSKA,3838
ROGOZIŃSKA,3838
ŚPIEWAK,3836
WAGNER,3834
JAKUBIEC,3831
SZOPA,3827
RYBKA,3823
SZELIGA,3823
TOKARCZYK,3822
ŚLEDŹ,3819
KOZAKIEWICZ,3813
ROMANIUK,3802
SZKUDLAREK,3801
JANCZAK,3800
LIPIEC,3799
OLECH,3798
WOJTOWICZ,3784
SZYMANEK,3781
PERKOWSKA,3780
GĄSIOREK,3778
ROMAŃSKA,3776
DUTKIEWICZ,3772
KAPUŚCIŃSKA,3771
SKONIECZNA,3771
GŁADYSZ,3769
BILIŃSKA,3768
WASIELEWSKA,3767
STASZAK,3761
KURZAWA,3759
AMBROZIAK,3758
DYMEK,3757
BARTOSZEK,3755
RACZKOWSKA,3753
RADZISZEWSKA,3752
FLAK,3745
RESZKA,3736
MAZIARZ,3735
MAJKOWSKA,3732
ADAMCZEWSKA,3729
PUCHAŁA,3727
POTOCKA,3725
KONARSKA,3724
PISAREK,3722
WAJDA,3719
PIECH,3714
BUGAJSKA,3713
WYRZYKOWSKA,3713
DZIKOWSKA,3710
KOKOT,3704
KUPIEC,3704
KAŹMIERSKA,3700
KAROLAK,3697
SZCZUREK,3697
SMOLEŃ,3694
ROKICKA,3688
KULPA,3686
PĘKALA,3677
WRZOSEK,3676
SUCHECKA,3675
BANASZAK,3673
CZARNOTA,3673
KALIŃSKA,3671
PLICHTA,3670
KĘPKA,3666
KAWALEC,3658
